iter	Passed	Remaining
0	1	112
1	2	103
2	3	97
3	3	94
4	5	95
5	5	92
6	6	91
7	7	89
8	8	86
9	9	84
10	10	81
11	10	79
12	11	77
13	12	76
14	13	74
15	13	73
16	14	71
17	15	70
18	16	69
19	17	68
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	25	57
31	26	56
32	27	55
33	27	54
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	48
41	33	46
42	34	46
43	35	45
44	36	44
45	37	43
46	38	43
47	38	42
48	39	41
49	40	40
50	41	39
51	42	38
52	42	37
53	43	37
54	44	36
55	44	35
56	45	34
57	46	33
58	47	32
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	62	17
78	63	16
79	64	16
80	64	15
81	65	14
82	66	13
83	67	12
84	67	11
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	73	6
92	73	5
93	74	4
94	75	3
95	76	3
96	77	2
97	78	1
98	79	0
99	79	0
