iter	Passed	Remaining
0	144	144131
1	146	72873
2	147	48896
3	148	36860
4	148	29625
5	149	24795
6	151	21448
7	152	18931
8	153	16945
9	155	15355
10	156	14051
11	157	12976
12	159	12084
13	160	11278
14	161	10575
15	162	9969
16	163	9433
17	164	8956
18	165	8522
19	165	8132
20	166	7779
21	167	7457
22	168	7163
23	169	6897
24	171	6671
25	172	6452
26	173	6242
27	174	6046
28	175	5864
29	176	5697
30	177	5541
31	178	5391
32	179	5250
33	180	5117
34	181	4992
35	181	4871
36	182	4758
37	183	4657
38	185	4563
39	186	4472
40	187	4381
41	188	4295
42	189	4212
43	190	4133
44	191	4060
45	192	3988
46	193	3918
47	194	3852
48	195	3788
49	196	3726
50	197	3665
51	198	3621
52	199	3567
53	200	3515
54	201	3464
55	202	3413
56	203	3366
57	204	3321
58	205	3277
59	206	3234
60	207	3191
61	208	3150
62	209	3110
63	210	3071
64	211	3037
65	213	3015
66	213	2980
67	214	2944
68	215	2910
69	216	2877
70	217	2845
71	218	2814
72	219	2785
73	220	2756
74	221	2727
75	222	2699
76	222	2671
77	223	2644
78	224	2620
79	226	2600
80	227	2581
81	228	2561
82	229	2535
83	230	2513
84	231	2491
85	232	2471
86	233	2450
87	234	2430
88	235	2410
89	236	2390
90	237	2370
91	238	2351
92	239	2331
93	240	2317
94	241	2301
95	242	2284
96	243	2268
97	244	2250
98	245	2233
99	246	2217
100	247	2202
101	248	2187
102	249	2173
103	250	2159
104	251	2145
105	252	2131
106	253	2116
107	254	2104
108	256	2093
109	256	2079
110	257	2065
111	258	2052
112	259	2039
113	260	2026
114	261	2014
115	262	2002
116	263	1989
117	264	1978
118	265	1966
119	266	1954
120	267	1942
121	268	1928
122	269	1919
123	270	1911
124	271	1900
125	272	1890
126	273	1878
127	274	1867
128	275	1856
129	276	1847
130	276	1837
131	277	1827
132	278	1818
133	279	1808
134	280	1798
135	281	1791
136	283	1782
137	284	1776
138	285	1767
139	286	1759
140	287	1752
141	288	1743
142	289	1735
143	290	1726
144	291	1718
145	292	1711
146	293	1705
147	294	1698
148	296	1691
149	297	1684
150	299	1684
151	300	1679
152	303	1679
153	304	1673
154	306	1672
155	308	1667
156	309	1661
157	310	1656
158	313	1656
159	314	1651
160	315	1643
161	316	1637
162	317	1632
163	319	1626
164	320	1621
165	321	1616
166	322	1610
167	323	1604
168	325	1599
169	326	1595
170	328	1590
171	329	1585
172	330	1580
173	331	1575
174	333	1574
175	335	1569
176	336	1563
